Video,Video title,Video publish time,Comments added,Subscribers gained,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
B1CDYRal68g,¡HABLEMOS DE LOS TIPOS DE HOBBIES!,"Mar 7, 2022",15,4,3204,847.2258,1,31737,7.22
DtzmmF17yyk,"¡HALLOWEEN, PUTIDISFRACES Y OTRAS COSAS TENEBROSAS!","Oct 25, 2021",15,9,5128,1716.5554,5,58527,5.78
mLw22euj-4o,¡EL BOOM DE LOS REBOOTS! NUEVA GENERACIÓN DE REBELDE Y GOSSIP GIRL,"Jan 20, 2022",15,3,2457,430.5372,3,28211,6.25
tSxZf12zSdk,LAS TÍPICAS METAS DE COMIENZO DE AÑO 😂,"Jan 14, 2022",15,5,2504,534.808,3,30616,5.9
ytDTObLwBVg,¿ERES UN PEOPLE PLEASER?,"Mar 14, 2022",15,5,3279,754.737,5,33330,6.99
5yKhs3XfNKs,¡EL CASO DE CAMILA ALFARO Y LA V10LENC1A D0MÉSTICA!,"Dec 30, 2021",14,4,3078,678.0098,4,35832,6.29
UlxjI4IGwng,¡SABER DETECTAR RED FLAGS Y CUÁNDO HUÍR!,"Mar 31, 2022",14,29,3129,718.3245,29,30769,7.63
KDCW18DJnKo,¡MENSAJES OCULTOS DE RANDONAUTICA!,"Dec 2, 2021",12,1,2731,816.1975,0,34856,5.46
OmNvSoCkl_A,¡LA EXPERIENCIA DE ROBERTO EN EXPO 2020 DUBAI!,"Jan 10, 2022",12,3,2353,387.5083,3,31626,5.32
e-qo1_8oxJc,¡TIPOS DE PERSONAS EN SALONES DE BELLEZA/SPAS!,"Jan 31, 2022",12,12,4171,1564.272,12,45795,5.93
jO1nH_GZM-U,LOS NIVELES DE ¿AMISTAD?,"Apr 18, 2022",12,18,3028,695.2829,17,26209,9.07
l22WbF-NjaM,¡NO SALÍAMOS DE UNA DISCOTECA!,,12,0,187,33.8359,0,212,66.04
QMGtfYLoLmQ,¡DILE NO A EMPEZAR EL AÑO EN BANCARROTA!,"Dec 27, 2021",11,2,2615,728.4468,-1,41492,4.32
fcdmMw5PDkg,"AMANTE O CACHO,  ¿ES LO MISMO?",,11,0,183,34.6168,0,182,55.49
vFW1fy-Y2qo,¿MENSAJES OCULTOS EN ASTROWORLD?,"Nov 18, 2021",11,6,3233,749.2305,5,36730,6.25
G7lFUNNh7sE,PUEDES CREER QUE... ¡NOS ESTAFARON!,,10,0,189,46.9136,0,188,59.57
HoNlo5QS53w,¿Cómo serán nuestras bodas?,,10,0,146,41.5743,0,209,53.59
OtI2u34rw3A,MATERIAL DE APOYO | UNA RUMBITA CON LQNTD,,10,0,116,3.8205,0,208,42.79
RdYuxGGBWQ4,SABEMOS QUE LES ENCANTA UN DE TODITO!,"Jun 5, 2021",10,0,191,35.0179,-1,228,57.89
oAMHIB_e25U,¿DE QUÉ COLOR TENEMOS EL AURA? + STORY TELLING DE VICKY,,10,0,175,38.4642,0,241,45.23
qLMD1HjgVtI,EL ARTE DE ENTRENAR PERROS + TIPS PARA DOG OWNERS,"Mar 28, 2022",10,6,2146,785.9518,5,26552,5.28
zoi_qxoRW2Q,¿LOS PREMIOS HAN MUERTO?,"Apr 14, 2022",10,4,1718,394.9925,4,18573,7.25
CEnuo9_IGts,"LA ESTAFA, LA RUMBA Y EL EPISODIO DE SE…","Jul 29, 2021",9,6,2900,209.1228,5,40262,5.56
LrJTox63FLM,¡NUESTROS ORÍGENES Y LA CULTURA MIXTA!,"Apr 29, 2021",9,12,2976,488.1436,11,57154,3.94
OALmF9RoRo4,¿QUÉ ESTA PASANDO CON KANYE WEST?,"Mar 4, 2022",9,5,2964,694.5693,5,30796,6.71
WCCwtizPbFs,¡CONOCENOS MAS CON MUCHAS PREGUNTAS Y RESPUESTAS!,,9,1,193,30.3497,1,234,50.43
WJftcGaNlvs,REACCIONANDO AL HUMOR NEGRO | Lo Que Nadie Te Dijo #28,"Mar 30, 2020",9,14,1320,173.1094,12,17942,5.72
AoEJ9ovvNdY,MATERIAL DE APOYO - LA TRAGICOMEDIA DEL AUDIO,,8,0,89,2.6094,0,166,40.36
Fl2qA0atjL8,YO NO SE DECIR QUE NO! | Lo Que Nadie Te Dijo #1,"Sep 24, 2019",8,27,1465,173.5639,27,17082,6.06
Yms-LpiDoKo,¿CÓMO ERA UNA FIESTA DE 15 AÑOS EN 2006?,"Apr 28, 2022",8,2,1802,399.7202,2,14822,9.59
lHIiMNzyd2A,TAG DEL HERMANO - DERECHO A REPLICA DE CLAUDIO!,"Mar 12, 2022",8,0,1504,58.5355,-1,18768,5.91
w9DRszKOn48,¡LES PRESENTAMOS UN VISTAZO A NUESTRO EPISODIO LIVE: WARM UP! 🔥,,8,0,128,26.5807,0,228,41.23
SlI0EDLa-CI,"OTRO VARIADITO, DE ESOS QUE TANTO AMAN!",,7,0,153,31.1261,0,259,42.86
Trp92fu8Vno,¡SOLO PARA CHICAS!,,7,0,131,34.0939,0,237,40.93
Y78-kWBS-sA,¡DIANA PLANCHA EN LAS MAÑANAS! - NUESTRAS RUTINAS,,7,0,142,36.6735,0,225,47.11
awSxaX1RWus,TRABAJOS QUE NUNCA TENDRÍAMOS!!!!!!,,7,0,159,26.2397,0,217,57.14
lNcUDpv_5_w,¡LO QUE DEJAMOS A ÚLTIMA HORA! 😂,"Apr 26, 2021",7,15,3499,975.3819,15,63159,3.33
zx5dR6kupMs,"SNEAK PEEK DE LA CHISMOTECA | IREMOS AL INFIERNO, COMO LAS UÑAS DE VICKY","Dec 26, 2021",7,1,1229,44.2504,-1,17787,5.33
Ar3asnbbeWM,CHISMOTECA ASTRAL CON @DIDIDAZE 🔮,,6,0,96,22.7014,0,179,34.08
BJDSd_CD5Lo,LOS MEJORES MOMENTOS DE CHISMOTECA EN 2021 #ContenidoExclusivo,"Jan 6, 2022",6,1,1714,183.2213,0,21728,5.9
FJNzQhp24EE,¿MEJOR SOLO QUE MAL ACOMPAÑADO?,"Aug 10, 2020",6,4,1511,442.7614,4,20993,3.9
MOPVp6Nz-1I,MASCULINIDAD Y FEMINIDAD FRÁGIL,"Jul 13, 2020",6,2,1057,156.7425,-1,18104,4.61
bCYA94d6wwg,¡EL AMOR Y LAS SEGUNDAS OPORTUNIDADES!,"Apr 15, 2021",6,15,2761,691.8993,15,46784,4.4
